CustomerID,Recency,Frequency,MonetaryValue,R,F,M,RFM_Score,RFM_Segment
12407,50,77,1708.12,2,3,3,8,233
12408,33,105,2888.55,2,3,3,8,233
12409,79,109,11072.67,2,3,3,8,233
12410,309,26,693.33,1,2,2,5,122
12412,75,61,1226.88,2,2,3,7,223
12413,67,38,758.1,2,2,2,6,222
12414,217,18,562.41,1,1,2,4,112
12415,24,714,124914.53,3,3,3,9,333
12417,3,192,3649.1,3,3,3,9,333
12418,113,34,668.58,1,2,2,5,122
12420,64,29,600.39,2,2,2,6,222
12421,16,45,807.04,3,2,2,7,322
12422,96,39,803.56,1,2,2,5,122
12423,1,125,1859.31,3,3,3,9,333
12424,163,30,1760.96,1,2,3,6,123
12425,78,36,777.2,2,2,2,6,222
12426,195,30,582.73,1,2,2,5,122
12427,22,31,825.8,3,2,2,7,322
12428,26,294,7956.46,2,3,3,8,233
12429,9,97,3750.4,3,3,3,9,333
12430,43,11,256.4,2,1,1,4,211
12431,36,234,6419.95,2,3,3,8,233
12432,43,108,5059.32,2,3,3,8,233
12433,1,420,13375.87,3,3,3,9,333
12434,85,50,806.14,2,2,2,6,222
12435,80,36,7829.89,2,2,3,7,223
12436,100,16,509.01,1,1,2,4,112
12437,2,199,4951.41,3,3,3,9,333
12438,14,98,2906.85,3,3,3,9,333
12441,367,11,173.55,1,1,1,3,111
12442,3,12,172.06,3,1,1,5,311
12444,21,176,5005.46,3,3,3,9,333
12445,22,4,133.4,3,1,1,5,311
12446,58,57,1002.31,2,2,2,6,222
12447,243,26,476.49,1,2,2,5,122
12448,44,22,449.45,2,1,2,5,212
12449,22,191,4067.29,3,3,3,9,333
12450,156,8,197.88,1,1,1,3,111
12451,11,354,9035.52,3,3,3,9,333
12452,17,22,430.57,3,1,2,6,312
12453,134,43,707.09,1,2,2,5,122
12454,56,15,3528.34,2,1,3,6,213
12455,73,90,2466.86,2,3,3,8,233
12456,44,125,3181.04,2,3,3,8,233
12457,66,62,2363.23,2,2,3,7,223
12458,71,38,947.4,2,2,2,6,222
12461,94,35,826.88,1,2,2,5,122
12462,19,62,1189.59,3,2,2,7,322
12463,53,83,1344.78,2,3,3,8,233
12464,10,29,1212.05,3,2,3,8,323
12465,17,47,742.19,3,2,2,7,322
12468,188,38,729.54,1,2,2,5,122
12471,2,459,19788.65,3,3,3,9,333
12472,32,339,6572.11,2,3,3,8,233
12473,29,167,3928.05,2,3,3,8,233
12474,17,422,7324.09,3,3,3,9,333
12475,54,36,723.38,2,2,2,6,222
12476,16,233,6816.42,3,3,3,9,333
12477,23,300,13219.74,3,3,3,9,333
12478,4,36,680.99,3,2,2,7,322
12479,11,31,527.2,3,2,2,7,322
12480,28,154,3281.63,2,3,3,8,233
12481,23,216,5579.82,3,3,3,9,333
12483,17,75,2484.98,3,3,3,9,333
12484,33,343,4527.32,2,3,3,8,233
12488,10,55,1298.66,3,2,3,8,323
12489,336,15,334.93,1,1,1,3,111
12490,5,245,5417.93,3,3,3,9,333
12491,39,26,460.4,2,2,2,6,222
12492,63,20,263.21,2,1,1,4,211
12493,166,22,433.74,1,1,2,4,112
12494,16,77,1246.1,3,3,3,9,333
12497,82,14,1043.1,2,1,2,5,212
12498,21,23,403.7,3,1,2,6,312
12500,23,61,4257.82,3,2,3,8,323
12501,337,149,2169.39,1,3,3,7,133
12502,96,147,3723.87,1,3,3,7,133
12504,18,9,482.05,3,1,2,6,312
12506,233,23,73.5,1,1,1,3,111
12507,134,21,1304.81,1,1,3,5,113
12508,26,68,397.88,2,2,2,6,222
12509,284,7,176.5,1,1,1,3,111
12510,143,33,982.57,1,2,2,5,122
12512,66,31,132.18,2,2,1,5,221
12513,113,35,612.29,1,2,2,5,122
12514,267,51,1017.68,1,2,2,5,122
12515,353,16,383.7,1,1,1,3,111
12516,78,26,1312.06,2,2,3,7,223
12517,28,279,2481.6,2,3,3,8,233
12518,1,124,2056.89,3,3,3,9,333
12519,64,17,330.84,2,1,1,4,211
12520,79,152,2634.26,2,3,3,8,233
12521,143,38,599.68,1,2,2,5,122
12522,39,12,192.72,2,1,1,4,211
12523,19,106,1789.77,3,3,3,9,333
12524,9,144,4485.72,3,3,3,9,333
12526,1,71,1316.66,3,2,3,8,323
12527,82,18,348.71,2,1,1,4,211
12528,9,92,1933.48,3,3,3,9,333
12530,60,66,1662.28,2,2,3,7,223
12531,15,17,125.22,3,1,1,5,311
12532,30,16,349.83,2,1,1,4,211
12534,131,63,1089.18,1,2,2,5,122
12535,92,34,716.35,1,2,2,5,122
12536,43,261,12601.83,2,3,3,8,233
12538,29,21,363.95,2,1,1,4,211
12539,22,273,5568.35,3,3,3,9,333
12540,20,478,13400.24,3,3,3,9,333
12541,30,52,981.18,2,2,2,6,222
12544,36,19,372.7,2,1,1,4,211
12545,75,50,1000.39,2,2,2,6,222
12546,47,69,1161.5,2,2,2,6,222
12547,198,8,207.8,1,1,1,3,111
12548,166,5,95.2,1,1,1,3,111
12550,79,57,964.83,2,2,2,6,222
12551,358,10,168,1,1,1,3,111
12552,39,20,437.82,2,1,2,5,212
12553,8,191,3692.28,3,3,3,9,333
12556,50,119,599.56,2,3,2,7,232
12557,16,33,11990.96,3,2,3,8,323
12558,8,11,269.96,3,1,1,5,311
12559,311,21,561.71,1,1,2,4,112
12560,5,105,2134.01,3,3,3,9,333
12561,303,16,238.85,1,1,1,3,111
12562,8,168,3781.74,3,3,3,9,333
12564,261,21,456.9,1,1,2,4,112
12565,289,9,145.92,1,1,1,3,111
12566,86,19,351.65,2,1,1,4,211
12567,23,446,9401.28,3,3,3,9,333
12569,2,188,4124.69,3,3,3,9,333
12571,40,34,519.61,2,2,2,6,222
12572,9,60,1020.42,3,2,2,7,322
12573,227,28,160.54,1,2,1,4,121
12574,316,11,218.45,1,1,1,3,111
12576,36,88,1315.83,2,3,3,8,233
12577,35,146,626.6,2,3,2,7,232
12578,21,114,2794.51,3,3,3,9,333
12579,78,29,440.42,2,2,2,6,222
12580,247,24,415.7,1,2,2,5,122
12581,40,15,197.71,2,1,1,4,211
12582,239,22,511.36,1,1,2,4,112
12583,3,247,7281.38,3,3,3,9,333
12584,4,96,2338.15,3,3,3,9,333
12585,234,87,2040.1,1,3,3,7,133
12586,17,11,196.94,3,1,1,5,311
12587,8,4,144,3,1,1,5,311
12588,39,10,214.9,2,1,1,4,211
12589,29,35,646.68,2,2,2,6,222
12590,211,68,9864.26,1,2,3,6,123
12591,317,26,452.85,1,2,2,5,122
12592,92,18,437.6,1,1,2,4,112
12593,109,21,418.1,1,1,2,4,112
12594,38,118,3338.22,2,3,3,8,233
12596,51,27,618.27,2,2,2,6,222
12597,19,206,3811.22,3,3,3,9,333
12598,10,132,3023.08,3,3,3,9,333
12599,29,62,1032.58,2,2,2,6,222
12600,29,64,2599.04,2,2,3,7,223
12601,190,28,577.06,1,2,2,5,122
12602,59,12,153.12,2,1,1,4,211
12603,22,2,739.2,3,1,2,6,312
12604,79,16,254.18,2,1,1,4,211
12607,60,101,1579.51,2,3,3,8,233
12609,78,60,1126.85,2,2,2,6,222
12610,23,106,2099.54,3,3,3,9,333
12611,52,65,1193.32,2,2,3,7,223
12612,74,19,704.04,2,1,2,5,212
12613,57,153,3344.38,2,3,3,8,233
12614,278,20,315.6,1,1,1,3,111
12615,2,105,2291.19,3,3,3,9,333
12616,95,32,713.3,1,2,2,5,122
12617,29,41,352.98,2,2,1,5,221
12618,22,11,177.31,3,1,1,5,311
12619,16,90,3641.24,3,3,3,9,333
12620,15,92,1339.41,3,3,3,9,333
12621,2,467,13689.67,3,3,3,9,333
12622,232,11,180.1,1,1,1,3,111
12623,276,18,305.1,1,1,1,3,111
12624,106,38,641.13,1,2,2,5,122
12625,212,86,2683.82,1,3,3,7,133
12626,23,294,6620.48,3,3,3,9,333
12627,11,230,4478.53,3,3,3,9,333
12628,4,41,786.46,3,2,2,7,322
12630,10,64,1270.88,3,2,3,8,323
12631,57,31,640.5,2,2,2,6,222
12633,59,101,2163.98,2,3,3,8,233
12635,90,101,1689.18,2,3,3,8,233
12637,67,382,6002.9,2,3,3,8,233
12638,33,39,671.69,2,2,2,6,222
12639,239,22,486.1,1,1,2,4,112
12640,24,53,1174.58,3,2,2,7,322
12641,115,10,185.9,1,1,1,3,111
12642,25,47,1013.26,3,2,2,7,322
12643,128,24,3344.64,1,2,3,6,123
12644,130,31,477.91,1,2,2,5,122
12645,34,73,1775.18,2,3,3,8,233
12646,5,45,1346.97,3,2,3,8,323
12647,22,121,3722.82,3,3,3,9,333
12648,155,21,318.05,1,1,1,3,111
12649,107,31,623.51,1,2,2,5,122
12650,3,20,314.44,3,1,1,5,311
12651,335,9,114,1,1,1,3,111
12652,331,48,919.98,1,2,2,5,122
12653,149,43,2209.85,1,2,3,6,123
12654,11,38,601.98,3,2,2,7,322
12656,17,126,4051.17,3,3,3,9,333
12657,11,47,1643.18,3,2,3,8,323
12658,19,36,686.05,3,2,2,7,322
12659,30,5,91.68,2,1,1,4,211
12660,11,13,245.1,3,1,1,5,311
12662,1,230,3849.78,3,3,3,9,333
12664,8,37,4881.88,3,2,3,8,323
12665,325,3,63,1,1,1,3,111
12667,58,33,620.13,2,2,2,6,222
12668,12,161,3807.15,3,3,3,9,333
12669,151,101,2744.03,1,3,3,7,133
12670,10,92,2996.05,3,3,3,9,333
12672,330,10,225.9,1,1,1,3,111
12673,5,42,610.52,3,2,2,7,322
12674,39,83,1970.6,2,3,3,8,233
12676,25,45,1331.39,3,2,3,8,323
12678,42,165,17628.46,2,3,3,8,233
12679,59,48,1113.02,2,2,2,6,222
12680,1,52,862.81,3,2,2,7,322
12681,15,638,13787.54,3,3,3,9,333
12682,4,524,12279.82,3,3,3,9,333
12683,4,344,8476.57,3,3,3,9,333
12684,8,105,2283.63,3,3,3,9,333
12685,28,157,2863.08,2,3,3,8,233
12686,372,7,89.14,1,1,1,3,111
12688,114,171,4873.81,1,3,3,7,133
12689,26,72,1247.61,2,2,3,7,223
12690,206,16,389.01,1,1,2,4,112
12691,28,32,1035.8,2,2,2,6,222
12693,127,39,855.91,1,2,2,5,122
12694,70,37,869.67,2,2,2,6,222
12695,7,27,582.1,3,2,2,7,322
12697,29,41,957.59,2,2,2,6,222
12700,8,268,4939.99,3,3,3,9,333
12701,80,53,797.71,2,2,2,6,222
12702,20,12,219,3,1,1,5,311
12703,71,21,283.55,2,1,1,4,211
12704,7,88,2340.84,3,3,3,9,333
12705,15,334,6868.29,3,3,3,9,333
12707,292,33,603.42,1,2,2,5,122
12708,30,157,2712.91,2,3,3,8,233
12709,15,207,9706.52,3,3,3,9,333
12710,97,77,1149.02,1,3,2,6,132
12712,29,133,4396.13,2,3,3,8,233
12713,1,38,848.55,3,2,2,7,322
12714,9,259,4708.86,3,3,3,9,333
12715,106,20,343.36,1,1,1,3,111
12716,4,69,1053.49,3,2,2,7,322
12717,151,55,1030.98,1,2,2,5,122
12718,71,19,238.25,2,1,1,4,211
12719,5,39,644.95,3,2,2,7,322
12720,3,354,5781.73,3,3,3,9,333
12721,32,161,2656.13,2,3,3,8,233
12722,85,53,997.63,2,2,2,6,222
12723,4,69,725.07,3,2,2,7,322
12724,5,53,1031.41,3,2,2,7,322
12725,371,24,427.8,1,2,2,5,122
12726,28,124,2609.1,2,3,3,8,233
12727,11,139,3980.7,3,3,3,9,333
12728,71,46,836.33,2,2,2,6,222
12729,114,26,453.01,1,2,2,5,122
12731,24,274,18895.91,3,3,3,9,333
12732,180,12,236.26,1,1,1,3,111
12733,234,22,383.95,1,1,1,3,111
12734,353,4,110.4,1,1,1,3,111
12735,315,43,779.57,1,2,2,5,122
12736,333,4,234,1,1,1,3,111
12738,372,11,155.35,1,1,1,3,111
12739,78,38,1013.04,2,2,2,6,222
12740,64,27,427.6,2,2,2,6,222
12743,134,131,540.13,1,3,2,6,132
12744,52,222,21279.29,2,3,3,8,233
12747,2,103,4196.01,3,3,3,9,333
12748,1,4412,33053.19,3,3,3,9,333
12749,4,199,4090.88,3,3,3,9,333
12750,129,15,275.88,1,1,1,3,111
12752,81,53,4366.78,2,2,3,7,223
12753,23,197,21429.39,3,3,3,9,333
12754,236,63,3010.74,1,2,3,6,123
12755,281,4,3811.95,1,1,3,5,113
12756,87,4,112.08,2,1,1,4,211
12757,16,364,7834.65,3,3,3,9,333
12758,117,97,2791.59,1,3,3,7,133
12759,52,95,1531.44,2,3,3,8,233
12762,8,69,1898.52,3,2,3,8,323
12763,138,18,494.08,1,1,2,4,112
12764,317,45,1693.88,1,2,3,6,123
12766,4,310,6989.63,3,3,3,9,333
12769,239,32,1143.6,1,2,2,5,122
12770,211,12,1351.45,1,1,3,5,113
12772,60,55,892.47,2,2,2,6,222
12775,17,66,1386.04,3,2,3,8,323
12778,20,50,822.23,3,2,2,7,322
12779,38,149,3981.36,2,3,3,8,233
12781,64,25,826.74,2,2,2,6,222
12782,5,103,2330.92,3,3,3,9,333
12783,2,84,2225.91,3,3,3,9,333
12784,9,57,532.82,3,2,2,7,322
12785,364,14,311.95,1,1,1,3,111
12787,10,20,463.66,3,1,2,6,312
12789,65,4,91.85,2,1,1,4,211
12790,192,21,324.92,1,1,1,3,111
12791,374,2,192.6,1,1,1,3,111
12792,257,25,400.54,1,2,2,5,122
12793,335,24,545.48,1,2,2,5,122
12794,53,45,860.41,2,2,2,6,222
12795,19,14,430.48,3,1,2,6,312
12797,366,13,254.03,1,1,1,3,111
12798,10,8,6977.04,3,1,3,7,313
12802,187,25,427.58,1,2,2,5,122
12808,37,28,483.65,2,2,2,6,222
12809,178,25,489.31,1,2,2,5,122
12811,261,31,514.85,1,2,2,5,122
12812,45,15,229.64,2,1,1,4,211
12814,102,2,125.92,1,1,1,3,111
12815,148,47,1063.46,1,2,2,5,122
12816,96,29,572.2,1,2,2,5,122
12817,281,4,166.04,1,1,1,3,111
12818,262,14,1542.08,1,1,3,5,113
12820,3,59,942.34,3,2,2,7,322
12821,214,6,92.72,1,1,1,3,111
12822,71,46,948.88,2,2,2,6,222
12823,75,5,1759.5,2,1,3,6,213
12824,60,25,397.12,2,2,2,6,222
12826,3,91,1474.72,3,3,3,9,333
12827,6,25,430.15,3,2,2,7,322
12828,3,56,1018.71,3,2,2,7,322
12829,337,11,293,1,1,1,3,111
12830,38,38,6814.64,2,2,3,7,223
12831,262,9,215.05,1,1,1,3,111
12832,32,27,383.03,2,2,1,5,221
12833,145,24,417.38,1,2,2,5,122
12834,283,18,312.38,1,1,1,3,111
12836,59,174,2610.36,2,3,3,8,233
12837,173,12,134.1,1,1,1,3,111
12838,34,120,671.95,2,3,2,7,232
12839,3,314,5591.42,3,3,3,9,333
12840,144,113,2726.77,1,3,3,7,133
12841,5,414,3991.58,3,3,3,9,333
12842,70,34,1118.99,2,2,2,6,222
12843,66,103,1702.26,2,3,3,8,233
12844,29,52,325.96,2,2,1,5,221
12845,267,27,354.09,1,2,1,4,121
12847,22,84,843.64,3,3,2,8,332
12849,31,48,1010.29,2,2,2,6,222
12851,97,47,131.81,1,2,1,4,121
12852,295,17,311.55,1,1,1,3,111
12853,135,78,1957.1,1,3,3,7,133
12854,79,109,1316.25,2,3,3,8,233
12855,373,3,38.1,1,1,1,3,111
12856,8,311,2170.78,3,3,3,9,333
12857,211,46,1106.4,1,2,2,5,122
12863,52,5,521.2,2,1,2,5,212
12864,138,3,147.12,1,1,1,3,111
12865,26,95,1568.23,2,3,3,8,233
12866,283,26,559.12,1,2,2,5,122
12867,26,534,4009.34,2,3,3,8,233
12868,186,107,1607.06,1,3,3,7,133
12871,84,11,380.64,2,1,1,4,211
12872,327,66,599.97,1,2,2,5,122
12873,282,4,374,1,1,1,3,111
12875,143,2,343.23,1,1,1,3,111
12876,58,85,2218.02,2,3,3,8,233
12877,4,154,1535.77,3,3,3,9,333
12878,236,47,854.99,1,2,2,5,122
12879,45,10,573.22,2,1,2,5,212
12881,276,7,298,1,1,1,3,111
12882,9,13,1463.04,3,1,3,7,313
12883,25,42,703.47,3,2,2,7,322
12884,88,7,309.05,2,1,1,4,211
12885,63,71,1175.22,2,2,2,6,222
12886,68,82,1378.4,2,3,3,8,233
12888,214,5,354.12,1,1,1,3,111
12890,24,79,376.72,3,3,1,7,331
12891,186,3,331,1,1,1,3,111
12893,31,31,176.55,2,2,1,5,221
12895,42,22,372.8,2,1,1,4,211
12897,205,4,216.5,1,1,1,3,111
12901,9,116,17654.54,3,3,3,9,333
12902,265,10,138.68,1,1,1,3,111
12904,18,71,496.06,3,2,2,7,322
12906,12,63,2919.81,3,2,3,8,323
12908,176,2,750,1,1,2,4,112
12909,40,91,2178.67,2,3,3,8,233
12910,23,75,3075.04,3,3,3,9,333
12912,3,24,1662.3,3,2,3,8,323
12913,5,50,2483.63,3,2,3,8,323
12915,149,22,363.65,1,1,1,3,111
12916,139,103,2944.95,1,3,3,7,133
12917,128,2,594,1,1,2,4,112
12919,8,50,1335.19,3,2,3,8,323
12920,17,27,162.78,3,2,1,6,321
12921,9,720,16587.09,3,3,3,9,333
12922,161,28,405.38,1,2,2,5,122
12923,64,28,172.82,2,2,1,5,221
12924,88,30,933.7,2,2,2,6,222
12925,5,45,694.05,3,2,2,7,322
12928,35,84,2062.7,2,3,3,8,233
12929,312,8,117.85,1,1,1,3,111
12930,78,25,415.8,2,2,2,6,222
12931,22,82,42055.96,3,3,3,9,333
12933,24,106,607.53,3,3,2,8,332
12935,2,129,2160.7,3,3,3,9,333
12936,17,62,1063.9,3,2,2,7,322
12937,15,120,1504.27,3,3,3,9,333
12938,26,9,114.14,2,1,1,4,211
12939,64,47,11581.8,2,2,3,7,223
12940,55,96,899.69,2,3,2,7,232
12942,131,70,675.6,1,2,2,5,122
12944,36,30,604.51,2,2,2,6,222
12945,288,23,462.95,1,1,2,4,112
12947,144,97,1603.99,1,3,3,7,133
12948,16,116,2064.95,3,3,3,9,333
12949,31,215,4167.22,2,3,3,8,233
12950,2,23,1843,3,1,3,7,313
12951,9,63,1064.07,3,2,2,7,322
12952,6,79,1387.79,3,3,3,9,333
12953,10,17,329.85,3,1,1,5,311
12955,1,180,4757.16,3,3,3,9,333
12956,306,19,108.07,1,1,1,3,111
12957,10,238,4017.54,3,3,3,9,333
12962,7,16,266.39,3,1,1,5,311
12963,8,95,1856.63,3,3,3,9,333
12965,89,108,769.81,2,3,2,7,232
12966,10,10,160.18,3,1,1,5,311
12967,358,19,1660.9,1,1,3,5,113
12968,112,5,135.95,1,1,1,3,111
12970,7,129,405.47,3,3,2,8,332
12971,4,305,11189.91,3,3,3,9,333
12974,198,8,144.8,1,1,1,3,111
12976,212,22,738.6,1,1,2,4,112
12977,156,9,39.24,1,1,1,3,111
12980,158,20,7374.9,1,1,3,5,113
12981,30,20,372.22,2,1,1,4,211
12982,243,28,390.54,1,2,2,5,122
12984,19,4,97.5,3,1,1,5,311
12985,1,76,1239.38,3,3,3,9,333
12987,74,28,558.7,2,2,2,6,222
12988,292,83,505.82,1,3,2,6,132
12989,3,64,6924.11,3,2,3,8,323
12990,31,13,409.5,2,1,2,5,212
12991,23,31,503.76,3,2,2,7,322
12993,23,27,414.76,3,2,2,7,322
12994,4,61,974.42,3,2,2,7,322
12995,85,3,211.32,2,1,1,4,211
12997,22,59,1226.89,3,2,3,8,323
12999,196,28,455.88,1,2,2,5,122
13000,107,31,534.85,1,2,2,5,122
13001,4,337,9785.97,3,3,3,9,333
13002,318,7,120.95,1,1,1,3,111
13003,106,6,149.05,1,1,1,3,111
13004,12,404,5655.91,3,3,3,9,333
13005,174,26,513.7,1,2,2,5,122
13006,56,4,81.57,2,1,1,4,211
13008,323,14,229.47,1,1,1,3,111
13011,372,3,50.55,1,1,1,3,111
13012,9,88,1646.84,3,3,3,9,333
13013,1,219,4810.94,3,3,3,9,333
13014,11,109,3466.28,3,3,3,9,333
13015,53,175,3339.64,2,3,3,8,233
13016,73,47,789.89,2,2,2,6,222
13017,7,1,204,3,1,1,5,311
13018,16,458,7277.7,3,3,3,9,333
13021,4,131,2616.38,3,3,3,9,333
13023,64,40,689.9,2,2,2,6,222
13026,1,40,975.36,3,2,2,7,322
13027,114,26,6912,1,2,3,6,123
13028,23,45,661.32,3,2,2,7,322
13029,31,10,1247.5,2,1,3,6,213
13030,11,92,752.44,3,3,2,8,332
13032,52,71,1010.18,2,2,2,6,222
13033,357,11,190.55,1,1,1,3,111
13034,55,37,642.77,2,2,2,6,222
13035,74,27,921.88,2,2,2,6,222
13037,138,48,881.07,1,2,2,5,122
13038,80,28,908.46,2,2,2,6,222
13040,9,43,676.99,3,2,2,7,322
13043,273,13,516.42,1,1,2,4,112
13044,291,33,560.47,1,2,2,5,122
13045,99,18,305.28,1,1,1,3,111
13046,31,35,629.31,2,2,2,6,222
13047,32,172,3237.54,2,3,3,8,233
13048,14,135,1819.41,3,3,3,9,333
13049,64,14,656.68,2,1,2,5,212
13050,15,403,5836.86,3,3,3,9,333
13052,212,18,348.15,1,1,1,3,111
13055,78,76,1214.41,2,3,3,8,233
13058,25,8,271.4,3,1,1,5,311
13059,250,8,183.4,1,1,1,3,111
13060,254,15,307.53,1,1,1,3,111
13061,72,10,248.61,2,1,1,4,211
13062,191,11,346.98,1,1,1,3,111
13064,13,68,1105.59,3,2,2,7,322
13065,373,14,205.86,1,1,1,3,111
13066,24,48,470.8,3,2,2,7,322
13067,82,15,115.46,2,1,1,4,211
13068,10,2,344,3,1,1,5,311
13069,1,424,4431.44,3,3,3,9,333
13070,192,9,228.8,1,1,1,3,111
13072,267,7,177.15,1,1,1,3,111
13075,130,22,919.61,1,1,2,4,112
13077,1,111,728.02,3,3,2,8,332
13078,3,358,12627.94,3,3,3,9,333
13079,4,6,220.1,3,1,1,5,311
13080,179,6,58.08,1,1,1,3,111
13081,12,1024,28337.38,3,3,3,9,333
13082,126,73,3613.63,1,3,3,7,133
13083,4,18,303.75,3,1,1,5,311
13085,158,22,416.08,1,1,2,4,112
13089,3,1814,58762.08,3,3,3,9,333
13090,9,155,8910.82,3,3,3,9,333
13091,28,21,345.82,2,1,1,4,211
13092,71,25,477.83,2,2,2,6,222
13093,276,159,7832.47,1,3,3,7,133
13094,21,24,1927.32,3,2,3,8,323
13095,71,6,74.4,2,1,1,4,211
13097,33,421,6003.22,2,3,3,8,233
13098,1,572,28882.44,3,3,3,9,333
13099,99,1,207.36,1,1,1,3,111
13101,234,8,101.19,1,1,1,3,111
13102,1,304,6424.09,3,3,3,9,333
13103,40,8,243.94,2,1,1,4,211
13104,3,20,1098.48,3,1,2,6,312
13106,133,1,76.5,1,1,1,3,111
13107,44,58,1531.62,2,2,3,7,223
13108,373,10,350.06,1,1,1,3,111
13109,60,47,786.54,2,2,2,6,222
13110,31,145,1488.67,2,3,3,8,233
13113,1,200,12245.96,3,3,3,9,333
13115,12,120,2294.78,3,3,3,9,333
13116,138,30,501.14,1,2,2,5,122
13117,22,76,984.91,3,3,2,8,332
13118,20,79,1197.81,3,3,3,9,333
13120,239,1,30.6,1,1,1,3,111
13121,269,50,283.73,1,2,1,4,121
13122,94,55,922.39,1,2,2,5,122
13124,90,222,3756.33,2,3,3,8,233
13126,5,140,2099.64,3,3,3,9,333
13127,78,15,259.17,2,1,1,4,211
13130,94,2,64,1,1,1,3,111
13131,23,44,1073.3,3,2,2,7,322
13132,262,3,77.3,1,1,1,3,111
13133,274,7,109.8,1,1,1,3,111
13134,86,98,1793.58,2,3,3,8,233
13135,197,1,3096,1,1,3,5,113
13136,56,127,2607.61,2,3,3,8,233
13137,11,687,3603.29,3,3,3,9,333
13138,22,63,962.39,3,2,2,7,322
13139,16,170,5064.94,3,3,3,9,333
13140,108,45,422.47,1,2,2,5,122
13141,85,135,2388.75,2,3,3,8,233
13142,19,23,307.09,3,1,1,5,311
13144,333,3,110.95,1,1,1,3,111
13145,40,6,618.52,2,1,2,5,212
13146,26,17,228.91,2,1,1,4,211
13147,10,4,712.8,3,1,2,6,312
13148,29,312,3683.26,2,3,3,8,233
13149,14,86,1676.06,3,3,3,9,333
13151,296,74,1257.87,1,3,3,7,133
13153,6,15,486.22,3,1,2,6,312
13155,33,85,971.76,2,3,2,7,232
13157,49,87,1741.22,2,3,3,8,233
13158,95,79,1201.06,1,3,3,7,133
13159,9,120,1429.35,3,3,3,9,333
13160,22,4,91.8,3,1,1,5,311
13161,313,8,112.75,1,1,1,3,111
13162,122,79,1688.29,1,3,3,7,133
13165,46,42,1021.48,2,2,2,6,222
13166,283,41,417.2,1,2,2,5,122
13167,19,65,791.33,3,2,2,7,322
13168,36,126,1299.59,2,3,3,8,233
13169,64,13,712.88,2,1,2,5,212
13170,27,30,108.81,2,2,1,5,221
13171,22,46,468.41,3,2,2,7,322
13173,4,43,353.65,3,2,1,6,321
13174,16,293,2742.82,3,3,3,9,333
13176,46,67,481.49,2,2,2,6,222
13177,65,17,282.45,2,1,1,4,211
13178,26,265,5725.47,2,3,3,8,233
13182,45,11,121.18,2,1,1,4,211
13183,8,94,3957.78,3,3,3,9,333
13184,15,179,1668.95,3,3,3,9,333
13185,268,1,71.4,1,1,1,3,111
13186,40,79,1575.89,2,3,3,8,233
13187,337,37,236.02,1,2,1,4,121
13188,11,2,114.6,3,1,1,5,311
13189,19,29,260.68,3,2,1,6,321
13192,95,63,911.94,1,2,2,5,122
13193,61,25,112.08,2,2,1,5,221
13194,136,3,60.7,1,1,1,3,111
13196,11,110,1797.78,3,3,3,9,333
13198,10,226,3401.24,3,3,3,9,333
13199,4,119,9817.12,3,3,3,9,333
13200,19,46,870.09,3,2,2,7,322
13203,10,57,869.46,3,2,2,7,322
13207,15,8,250.26,3,1,1,5,311
