folio,site_address,SiteCity,site_zip,sale_date,sale_price,bed,bath,year_built,sq_ft,total_sq_ft,neighborhood,total_stories,qualified,acreage
880800424,5712 KINGLETSOUND PL,LITHIA,33547,2/15/18,180200,3,2.5,2011,1594,2045,Fishhawk West Area,2,Qualified,0.02
880800322,16429 KINGLETRIDGE AVE,LITHIA,33547,9/26/17,181500,3,2.5,2008,1594,2045,Fishhawk West Area,2,Qualified,0.02
880800384,16615 KINGLETRIDGE AVE,LITHIA,33547,6/10/16,182000,3,2.5,2011,1760,2197,Fishhawk West Area,2,Qualified,0.02
880800580,5725 KINGLETHILL DR,LITHIA,33547,8/28/17,182000,3,2.5,2008,1594,2045,Fishhawk West Area,2,Qualified,0.02
880800570,5722 KINGLETHILL DR,LITHIA,33547,3/3/17,183000,3,2.5,2013,1760,2197,Fishhawk West Area,2,Qualified,0.02
880800556,5736 KINGLETHILL DR,LITHIA,33547,1/12/18,185000,3,2.5,2013,1594,2045,Fishhawk West Area,2,Qualified,0.02
880800612,16432 KINGLETRIDGE AVE,LITHIA,33547,2/16/17,189900,3,2.5,2008,1760,2197,Fishhawk West Area,2,Qualified,0.02
880800514,16607 KINGLETSIDE CT,LITHIA,33547,3/2/18,189900,3,2.5,2011,1594,2045,Fishhawk West Area,2,Qualified,0.02
880800534,5721 KINGLETSOUND PL,LITHIA,33547,5/26/17,192500,3,2.5,2012,1760,2197,Fishhawk West Area,2,Qualified,0.02
880800432,5704 KINGLETSOUND PL,LITHIA,33547,7/14/17,195000,3,2.5,2011,1760,2197,Fishhawk West Area,2,Qualified,0.02
880800492,5518 KINGLETHILL DR,LITHIA,33547,7/31/17,195000,3,2.5,2010,1760,2197,Fishhawk West Area,2,Qualified,0.02
880800456,5513 KINGLETHILL DR,LITHIA,33547,11/30/17,195000,3,2.5,2009,1760,2197,Fishhawk West Area,2,Qualified,0.02
880800436,5618 KINGLETSOUND PL,LITHIA,33547,4/21/18,195000,3,2.5,2010,1594,2045,Fishhawk West Area,2,Qualified,0.02
880800582,5727 KINGLETHILL DR,LITHIA,33547,4/11/18,197000,3,2.5,2008,1760,2197,Fishhawk West Area,2,Qualified,0.02
880800438,5616 KINGLETSOUND PL,LITHIA,33547,8/18/17,199900,3,2.5,2010,1760,2197,Fishhawk West Area,2,Qualified,0.02
741248166,6227 OSPREY LAKE CIR,RIVERVIEW,33578,7/27/17,65000,2,2.5,2003,1035,1160,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741248294,6212 OSPREY LAKE CIR,RIVERVIEW,33578,7/6/16,66000,2,2.5,2003,1035,1160,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741247422,6522 OSPREY LAKE CIR,RIVERVIEW,33578,9/19/16,77400,2,2.5,2002,1035,1160,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741248068,6546 OSPREY LAKE CIR,RIVERVIEW,33578,9/22/17,85000,3,3,2002,1412,1488,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741248258,6244 OSPREY LAKE CIR,RIVERVIEW,33578,10/31/16,86000,2,2.5,2003,1360,1479,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741050214,6907 HAWTHORNE TRACE LN,RIVERVIEW,33578,12/28/16,90000,2,2.5,2006,1254,1410,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741248108,6321 OSPREY LAKE CIR,RIVERVIEW,33578,9/23/16,93300,2,2.5,2002,1035,1160,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741248278,6230 OSPREY LAKE CIR,RIVERVIEW,33578,1/23/17,93500,2,2.5,2003,1035,1160,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741248194,6149 OSPREY LAKE CIR,RIVERVIEW,33578,8/31/16,96500,2,2.5,2003,1360,1479,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741248114,6313 OSPREY LAKE CIR,RIVERVIEW,33578,5/12/17,98000,2,2.5,2003,1035,1160,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741248350,6022 OSPREY LAKE CIR,RIVERVIEW,33578,8/19/16,99500,2,2.5,2003,1360,1479,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741248084,6532 OSPREY LAKE CIR,RIVERVIEW,33578,8/31/16,100000,3,2.5,2002,1506,1640,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741247232,6569 OSPREY LAKE CIR,RIVERVIEW,33578,8/29/16,101000,2,2.5,2002,1360,1479,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741248156,6243 OSPREY LAKE CIR,RIVERVIEW,33578,8/9/17,103000,2,2.5,2003,1035,1160,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741230106,6520 301 HWY S,RIVERVIEW,33578,11/8/16,106000,,,2008,1157,1157,N Riverview Area NE of 301 & Alafia Rvr,1,Qualified,0.03
741247272,6523 OSPREY LAKE CIR,RIVERVIEW,33578,12/28/16,106100,3,3,2002,1412,1488,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
721248962,6805 DARTMOUTH HILL ST,RIVERVIEW,33578,1/17/17,107000,2,2.5,2006,1254,1344,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741248118,6309 OSPREY LAKE CIR,RIVERVIEW,33578,4/21/17,107000,2,2.5,2003,1035,1160,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
740940176,6904 MARBLE FAWN PL,RIVERVIEW,33578,4/28/17,107000,3,2.5,2006,1477,1557,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741248188,6203 OSPREY LAKE CIR,RIVERVIEW,33578,9/27/17,107000,2,2.5,2003,1035,1160,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741247332,6409 OSPREY LAKE CIR,RIVERVIEW,33578,10/26/17,107000,2,2.5,2001,1035,1160,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741230200,6528 301 HWY S,RIVERVIEW,33578,5/19/17,109000,,,2008,1157,1157,N Riverview Area NE of 301 & Alafia Rvr,1,Qualified,0.03
741247432,6448 OSPREY LAKE CIR,RIVERVIEW,33578,7/15/16,109500,3,3,2001,1412,1488,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
880781356,5841 FISHHAWK RIDGE DR,LITHIA,33547,3/11/16,110000,2,2.5,2005,1383,1504,Fishhawk West Area,2,Qualified,0.03
880790618,15848 FISHHAWK FALLS DR,LITHIA,33547,3/29/16,110000,2,2.5,2006,1248,1374,Fishhawk West Area,2,Qualified,0.03
741230102,6520 301 HWY S,RIVERVIEW,33578,12/29/17,110000,,,2008,1157,1157,N Riverview Area NE of 301 & Alafia Rvr,1,Qualified,0.03
741248356,6028 OSPREY LAKE CIR,RIVERVIEW,33578,8/4/16,111000,3,2.5,2003,1506,1640,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741248140,6261 OSPREY LAKE CIR,RIVERVIEW,33578,5/4/18,111000,2,2.5,2003,1035,1160,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
880781164,15750 FISHHAWK FALLS DR,LITHIA,33547,8/19/16,113000,2,2.5,2005,1248,1374,Fishhawk West Area,2,Qualified,0.03
880781302,15759 FISHHAWK FALLS DR,LITHIA,33547,2/25/17,113000,2,2.5,2005,1383,1504,Fishhawk West Area,2,Qualified,0.03
741050262,6930 HAWTHORNE TRACE LN,RIVERVIEW,33578,3/31/17,113000,2,2.5,2006,1254,1344,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741247440,6430 OSPREY LAKE CIR,RIVERVIEW,33578,10/20/17,113000,2,2.5,2001,1035,1160,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
880781332,15723 FISHHAWK FALLS DR,LITHIA,33547,3/31/16,114000,2,2.5,2005,1248,1374,Fishhawk West Area,2,Qualified,0.03
880781402,5710 FISHHAWK RIDGE DR,LITHIA,33547,4/20/16,114500,2,2.5,2006,1248,1374,Fishhawk West Area,2,Qualified,0.03
741248180,6211 OSPREY LAKE CIR,RIVERVIEW,33578,7/27/16,115000,3,3,2003,1412,1488,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
880781370,5815 FISHHAWK RIDGE DR,LITHIA,33547,10/31/16,115000,2,2.5,2005,1248,1374,Fishhawk West Area,2,Qualified,0.03
880790364,15905 FISHHAWK VIEW DR,LITHIA,33547,1/23/17,115000,2,2.5,2006,1383,1504,Fishhawk West Area,2,Qualified,0.03
741248116,6311 OSPREY LAKE CIR,RIVERVIEW,33578,7/7/17,115000,2,2.5,2003,1360,1479,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741247264,6531 OSPREY LAKE CIR,RIVERVIEW,33578,9/25/17,115000,2,2.5,2002,1360,1479,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741248166,6227 OSPREY LAKE CIR,RIVERVIEW,33578,12/19/17,115000,2,2.5,2003,1035,1160,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741248156,6243 OSPREY LAKE CIR,RIVERVIEW,33578,3/1/18,115000,2,2.5,2003,1035,1160,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
721248948,6821 DARTMOUTH HILL ST,RIVERVIEW,33578,9/25/17,115900,2,2,2007,1080,1216,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
740940184,6912 MARBLE FAWN PL,RIVERVIEW,33578,11/30/17,115900,2,2.5,2006,1254,1326,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741248198,6145 OSPREY LAKE CIR,RIVERVIEW,33578,4/30/18,116000,2,2.5,2003,1035,1160,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
880781242,5858 FISHHAWK RIDGE DR,LITHIA,33547,5/19/16,117000,2,2.5,2005,1248,1374,Fishhawk West Area,2,Qualified,0.03
880790604,15832 FISHHAWK FALLS DR,LITHIA,33547,1/24/17,117500,2,2.5,2006,1248,1374,Fishhawk West Area,2,Qualified,0.03
880790308,15827 FISHHAWK VIEW DR,LITHIA,33547,6/6/16,118000,2,2.5,2008,1383,1514,Fishhawk West Area,2,Qualified,0.03
880790566,15835 FISHHAWK FALLS DR,LITHIA,33547,9/8/16,118000,2,2.5,2006,1248,1374,Fishhawk West Area,2,Qualified,0.03
880790382,15927 FISHHAWK VIEW DR,LITHIA,33547,3/9/17,118500,2,2.5,2006,1248,1374,Fishhawk West Area,2,Qualified,0.03
880781388,5719 FISHHAWK RIDGE DR,LITHIA,33547,1/19/17,118700,2,2.5,2004,1248,1374,Fishhawk West Area,2,Qualified,0.03
880781138,15768 FISHHAWK FALLS DR,LITHIA,33547,1/31/17,119000,2,2.5,2005,1383,1504,Fishhawk West Area,2,Qualified,0.03
741248634,10812 LAKE SAINT CHARLES BLVD,RIVERVIEW,33578,2/12/18,119000,2,2,2007,1080,1216,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
880781152,15738 FISHHAWK FALLS DR,LITHIA,33547,4/28/16,119900,2,2.5,2005,1248,1374,Fishhawk West Area,2,Qualified,0.03
741248274,6226 OSPREY LAKE CIR,RIVERVIEW,33578,12/22/17,120000,2,2.5,2003,1360,1479,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741247280,6513 OSPREY LAKE CIR,RIVERVIEW,33578,3/30/18,120000,2,2.5,2001,1360,1479,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
740940178,6906 MARBLE FAWN PL,RIVERVIEW,33578,4/2/18,120000,2,2,2006,1080,1216,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
880790588,15809 FISHHAWK FALLS DR,LITHIA,33547,5/13/16,120500,2,2.5,2007,1383,1504,Fishhawk West Area,2,Qualified,0.03
880781190,15706 FISHHAWK FALLS DR,LITHIA,33547,3/7/16,121000,2,2.5,2004,1383,1504,Fishhawk West Area,2,Qualified,0.03
880781188,15704 FISHHAWK FALLS DR,LITHIA,33547,4/27/16,121000,2,2.5,2004,1383,1504,Fishhawk West Area,2,Qualified,0.03
880790530,15838 FISHHAWK VIEW DR,LITHIA,33547,12/29/17,121500,2,2.5,2008,1383,1504,Fishhawk West Area,2,Qualified,0.03
880781174,15730 FISHHAWK FALLS DR,LITHIA,33547,2/16/16,122000,2,2.5,2004,1383,1504,Fishhawk West Area,2,Qualified,0.03
880790584,15813 FISHHAWK FALLS DR,LITHIA,33547,3/9/16,122000,2,2.5,2007,1383,1514,Fishhawk West Area,2,Qualified,0.03
880781334,5879 FISHHAWK RIDGE DR,LITHIA,33547,8/29/16,122000,2,2.5,2005,1248,1374,Fishhawk West Area,2,Qualified,0.03
880781228,5868 FISHHAWK RIDGE DR,LITHIA,33547,5/31/16,123000,2,2.5,2005,1383,1504,Fishhawk West Area,2,Qualified,0.03
880790386,15923 FISHHAWK VIEW DR,LITHIA,33547,6/7/16,123000,2,2.5,2006,1383,1514,Fishhawk West Area,2,Qualified,0.03
880781308,15749 FISHHAWK FALLS DR,LITHIA,33547,10/26/16,123000,2,2.5,2005,1383,1504,Fishhawk West Area,2,Qualified,0.03
741248184,6207 OSPREY LAKE CIR,RIVERVIEW,33578,12/13/17,123500,3,2.5,2003,1506,1640,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
880790374,15915 FISHHAWK VIEW DR,LITHIA,33547,4/26/16,123714,2,2.5,2006,1383,1514,Fishhawk West Area,2,Qualified,0.03
880781102,15788 FISHHAWK FALLS DR,LITHIA,33547,7/29/16,124000,2,2.5,2006,1248,1374,Fishhawk West Area,2,Qualified,0.03
741248230,6021 OSPREY LAKE CIR,RIVERVIEW,33578,5/19/17,124000,3,2.5,2003,1506,1640,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741050248,10909 JOHANNA AVE,RIVERVIEW,33578,7/13/16,124900,3,2.5,2006,1640,1810,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
880790356,15875 FISHHAWK VIEW DR,LITHIA,33547,5/17/16,125000,2,2.5,2006,1383,1504,Fishhawk West Area,2,Qualified,0.03
880781400,5707 FISHHAWK RIDGE DR,LITHIA,33547,7/26/16,125000,2,2.5,2004,1248,1374,Fishhawk West Area,2,Qualified,0.03
880790308,15827 FISHHAWK VIEW DR,LITHIA,33547,8/8/16,125000,2,2.5,2008,1383,1514,Fishhawk West Area,2,Qualified,0.03
741248246,6320 OSPREY LAKE CIR,RIVERVIEW,33578,10/21/16,125000,3,3,2003,1412,1488,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741248248,6322 OSPREY LAKE CIR,RIVERVIEW,33578,4/7/17,125000,3,3,2003,1412,1488,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741050250,6916 HAWTHORNE TRACE LN,RIVERVIEW,33578,9/23/16,126000,3,2.5,2006,1477,1557,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
880781398,5709 FISHHAWK RIDGE DR,LITHIA,33547,12/14/16,127000,2,2.5,2004,1248,1374,Fishhawk West Area,2,Qualified,0.03
741050226,10848 JOHANNA AVE,RIVERVIEW,33578,5/31/17,127000,2,2.5,2006,1254,1344,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
880781144,15754 FISHHAWK FALLS DR,LITHIA,33547,6/5/17,127000,2,2.5,2005,1383,1504,Fishhawk West Area,2,Qualified,0.03
880781406,5714 FISHHAWK RIDGE DR,LITHIA,33547,9/29/16,127500,2,2.5,2006,1383,1504,Fishhawk West Area,2,Qualified,0.03
880790636,15928 FISHHAWK VIEW DR,LITHIA,33547,5/26/17,127500,2,2.5,2006,1248,1374,Fishhawk West Area,2,Qualified,0.03
880790480,15920 FISHHAWK CREEK LN,LITHIA,33547,5/24/17,128000,2,2.5,2006,1383,1504,Fishhawk West Area,2,Qualified,0.03
741248382,10424 HERON LAKE DR,RIVERVIEW,33578,2/26/18,128500,3,3,2003,1412,1488,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
880790544,15854 FISHHAWK VIEW DR,LITHIA,33547,4/21/17,129000,2,2.5,2006,1383,1504,Fishhawk West Area,2,Qualified,0.03
880781230,5846 FISHHAWK RIDGE DR,LITHIA,33547,6/26/17,129000,2,2.5,2005,1248,1374,Fishhawk West Area,2,Qualified,0.03
880790580,15817 FISHHAWK FALLS DR,LITHIA,33547,8/18/17,129000,2,2.5,2007,1248,1374,Fishhawk West Area,2,Qualified,0.03
741247416,6516 OSPREY LAKE CIR,RIVERVIEW,33578,4/27/18,129000,3,3,2002,1412,1488,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741050214,6907 HAWTHORNE TRACE LN,RIVERVIEW,33578,8/15/17,129900,2,2.5,2006,1254,1410,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
880790658,15921 FISHHAWK CREEK LN,LITHIA,33547,12/13/16,130000,2,2.5,2006,1248,1374,Fishhawk West Area,2,Qualified,0.03
880790490,15910 FISHHAWK CREEK LN,LITHIA,33547,3/16/17,130000,2,2.5,2006,1383,1514,Fishhawk West Area,2,Qualified,0.03
741247208,6609 OSPREY LAKE CIR,RIVERVIEW,33578,4/28/17,130000,3,3,2002,1412,1488,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
880790654,15929 FISHHAWK CREEK LN,LITHIA,33547,5/17/17,130000,2,2.5,2006,1383,1514,Fishhawk West Area,2,Qualified,0.03
741248202,6141 OSPREY LAKE CIR,RIVERVIEW,33578,8/11/17,130000,3,3,2003,1412,1488,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
880781182,15718 FISHHAWK FALLS DR,LITHIA,33547,9/1/17,130000,3,2.5,2004,1383,1504,Fishhawk West Area,2,Qualified,0.03
741248084,6532 OSPREY LAKE CIR,RIVERVIEW,33578,9/7/17,130000,3,2.5,2002,1506,1640,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741248252,6326 OSPREY LAKE CIR,RIVERVIEW,33578,10/6/17,130000,3,3,2003,1412,1488,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
880790304,15831 FISHHAWK VIEW DR,LITHIA,33547,7/14/17,130500,2,2.5,2008,1383,1504,Fishhawk West Area,2,Qualified,0.03
880790598,15826 FISHHAWK FALLS DR,LITHIA,33547,10/26/16,131000,2,2.5,2006,1383,1514,Fishhawk West Area,2,Qualified,0.03
880790596,15824 FISHHAWK FALLS DR,LITHIA,33547,3/13/17,131000,2,2.5,2006,1383,1504,Fishhawk West Area,2,Qualified,0.03
880781372,5813 FISHHAWK RIDGE DR,LITHIA,33547,9/19/17,132000,2,2.5,2005,1248,1374,Fishhawk West Area,2,Qualified,0.03
880781354,5843 FISHHAWK RIDGE DR,LITHIA,33547,2/15/18,132000,2,2.5,2005,1248,1374,Fishhawk West Area,2,Qualified,0.03
880781204,5884 FISHHAWK RIDGE DR,LITHIA,33547,5/8/17,133000,2,2.5,2005,1383,1504,Fishhawk West Area,2,Qualified,0.03
880790338,15867 FISHHAWK VIEW DR,LITHIA,33547,6/27/17,133000,2,2.5,2006,1248,1374,Fishhawk West Area,2,Qualified,0.03
880790592,15805 FISHHAWK FALLS DR,LITHIA,33547,10/20/17,133000,2,2.5,2007,1248,1374,Fishhawk West Area,2,Qualified,0.03
880790562,15874 FISHHAWK VIEW DR,LITHIA,33547,4/27/18,133000,2,2.5,2006,1383,1504,Fishhawk West Area,2,Qualified,0.03
880790600,15828 FISHHAWK FALLS DR,LITHIA,33547,4/27/17,134000,2,2.5,2006,1383,1514,Fishhawk West Area,2,Qualified,0.03
880790508,15812 FISHHAWK FALLS DR,LITHIA,33547,8/18/17,134000,2,2.5,2008,1383,1504,Fishhawk West Area,2,Qualified,0.03
880790510,15814 FISHHAWK FALLS DR,LITHIA,33547,12/22/17,134900,2,2.5,2008,1248,1374,Fishhawk West Area,2,Qualified,0.03
741247282,6511 OSPREY LAKE CIR,RIVERVIEW,33578,6/15/18,134900,3,2.5,2001,1506,1640,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741248702,10819 LAKE SAINT CHARLES BLVD,RIVERVIEW,33578,8/12/16,135000,3,2.5,2006,1640,1810,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
880790452,15948 FISHHAWK CREEK LN,LITHIA,33547,8/7/17,135000,2,2.5,2006,1383,1504,Fishhawk West Area,2,Qualified,0.03
880790594,15822 FISHHAWK FALLS DR,LITHIA,33547,9/15/17,135000,2,2.5,2006,1248,1374,Fishhawk West Area,2,Qualified,0.03
741247418,6518 OSPREY LAKE CIR,RIVERVIEW,33578,10/10/17,135000,3,2.5,2002,1506,1640,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741247212,6605 OSPREY LAKE CIR,RIVERVIEW,33578,3/21/18,135000,3,3,2002,1412,1488,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741247284,6509 OSPREY LAKE CIR,RIVERVIEW,33578,5/18/18,135000,3,3,2001,1412,1488,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741248068,6546 OSPREY LAKE CIR,RIVERVIEW,33578,12/29/17,135500,3,3,2002,1412,1488,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
741248312,10410 HERON LAKE DR,RIVERVIEW,33578,12/8/17,135900,3,3,2003,1412,1488,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
880790450,15946 FISHHAWK CREEK LN,LITHIA,33547,1/3/18,136000,2,2.5,2006,1248,1374,Fishhawk West Area,2,Qualified,0.03
880781242,5858 FISHHAWK RIDGE DR,LITHIA,33547,4/19/18,136000,2,2.5,2005,1248,1374,Fishhawk West Area,2,Qualified,0.03
741050208,6915 HAWTHORNE TRACE LN,RIVERVIEW,33578,1/30/17,136500,3,2.5,2006,1640,1810,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
880781170,15726 FISHHAWK FALLS DR,LITHIA,33547,8/11/17,137000,2,2.5,2004,1383,1504,Fishhawk West Area,2,Qualified,0.03
880790462,15942 FISHHAWK CREEK LN,LITHIA,33547,8/14/17,137000,2,2.5,2006,1383,1514,Fishhawk West Area,2,Qualified,0.03
880781360,5837 FISHHAWK RIDGE DR,LITHIA,33547,11/9/17,137000,2,2.5,2005,1383,1504,Fishhawk West Area,2,Qualified,0.03
880781308,15749 FISHHAWK FALLS DR,LITHIA,33547,4/16/18,137000,2,2.5,2005,1383,1504,Fishhawk West Area,2,Qualified,0.03
880781260,5818 FISHHAWK RIDGE DR,LITHIA,33547,4/21/17,137500,2,2.5,2005,1383,1504,Fishhawk West Area,2,Qualified,0.03
880790528,15836 FISHHAWK VIEW DR,LITHIA,33547,4/30/18,137500,2,2.5,2008,1248,1374,Fishhawk West Area,2,Qualified,0.03
880790546,15856 FISHHAWK VIEW DR,LITHIA,33547,8/29/17,138000,2,2.5,2006,1383,1514,Fishhawk West Area,2,Qualified,0.03
880781290,15779 FISHHAWK FALLS DR,LITHIA,33547,5/1/18,138900,2,2.5,2005,1248,1374,Fishhawk West Area,2,Qualified,0.03
741247322,6423 OSPREY LAKE CIR,RIVERVIEW,33578,5/24/17,139000,3,2.5,2001,1506,1640,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
880790362,15907 FISHHAWK VIEW DR,LITHIA,33547,8/4/17,139000,2,2.5,2006,1248,1374,Fishhawk West Area,2,Qualified,0.03
741248696,10825 LAKE SAINT CHARLES BLVD,RIVERVIEW,33578,4/30/18,139000,3,2.5,2006,1477,1557,N Riverview Area NE of 301 & Alafia Rvr,2,Qualified,0.03
